Sample	Sex	Tissue	Batch	Donor_id	Acinar cells	Adrenocortical cells	Astrocytes	Cardiomyocytes	Chromaffin cells	Ductal cells	Epithelial cells	Erythroblasts	Excitatory neurons	Ganglion cells	Goblet cells	Granule neurons	Hepatoblasts	Inhibitory neurons	Intestinal epithelial cells	Islet endocrine cells	Lymphoid cells	Megakaryocytes	Mesangial cells	Metanephric cells	Myeloid cells	Photoreceptor cells	Purkinje neurons	Retinal pigment cells	Satellite cells	Skeletal muscle cells	Smooth muscle cells	Stromal cells	Thymocytes	Trophoblast giant cells	Ureteric bud cells	Vascular endothelial cells
sample_10_muscle	Male	Muscle	batch_1	H27098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3030	4713	441	2680	0	0	0	963
sample_12_heart	Male	Heart	batch_1	H27423	0	0	0	10976	0	0	0	226	0	0	0	0	0	0	0	0	457	0	0	0	341	0	0	0	0	0	503	2140	0	0	0	891
sample_13_placenta	Male	Placenta	batch_1	H27423	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	169	0	0	0	843	0	0	0	0	0	374	563	0	890	0	420
sample_14_heart	Male	Heart	batch_1	H27431	0	0	0	8573	0	0	0	221	0	0	0	0	0	0	0	0	332	0	0	0	404	0	0	0	0	0	259	1785	0	0	0	623
sample_15_placenta	Male	Placenta	batch_1	H27431	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	197	0	0	0	2506	0	0	0	0	0	553	2700	0	1358	0	429
sample_16_adrenal	Female	Adrenal	batch_1	H27471	0	8544	0	0	1840	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	524	0	0	0	706
sample_18_eye	Female	Eye	batch_1	H27472	0	0	0	0	0	0	0	0	0	755	0	0	0	0	0	0	0	0	0	0	0	1468	0	408	0	0	0	0	0	0	0	0
sample_19_intestine	Female	Intestine	batch_1	H27472	0	0	0	0	384	0	0	0	0	0	0	0	0	0	8619	0	999	0	0	0	562	0	0	0	0	0	252	2140	0	0	0	149
sample_1_adrenal	Female	Adrenal	batch_1	H26350	0	8087	0	0	159	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	604	0	0	0	320
sample_20_kidney	Female	Kidney	batch_1	H27472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	4543	69	0	0	0	0	0	0	0	0	0	1421	163
sample_21_intestine	Male	Intestine	batch_1	H27477	0	0	0	0	283	0	0	0	0	0	0	0	0	0	6469	0	3915	0	0	0	1066	0	0	0	0	0	1123	4190	0	0	0	445
sample_22_kidney	Male	Kidney	batch_1	H27477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	121	6	0	0	0	0	0	0	0	0	0	27	14
sample_23_muscle	Male	Muscle	batch_1	H27477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2169	2509	385	2271	0	0	0	977
sample_25_kidney	Female	Kidney	batch_2	H26350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1546	8608	323	0	0	0	0	0	0	0	0	0	1622	479
sample_26_placenta	Female	Placenta	batch_2	H26350	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	201	0	0	0	2326	0	0	0	0	0	842	1035	0	2198	0	344
sample_27_adrenal	Female	Adrenal	batch_2	H26547	0	24166	0	0	2142	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	0	0	0	0	914	0	0	0	1431
sample_28_intestine	Female	Intestine	batch_2	H26547	0	0	0	0	89	0	0	0	0	0	0	0	0	0	1327	0	2897	0	0	0	839	0	0	0	0	0	290	1409	0	0	0	116
sample_29_placenta	Female	Placenta	batch_2	H26547	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	439	0	0	0	2721	0	0	0	0	0	625	1395	0	456	0	413
sample_2_thymus	Female	Thymus	batch_1	H26350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12585	0	0	1015
sample_30_placenta	Female	Placenta	batch_2	H27058	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	20	0	0	0	172	0	0	0	0	0	42	106	0	1138	0	18
sample_31_adrenal	Male	Adrenal	batch_2	H27098	0	13570	0	0	224	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	575	0	0	0	923
sample_32_heart	Male	Heart	batch_2	H27098	0	0	0	9161	0	0	0	205	0	0	0	0	0	0	0	0	265	0	0	0	279	0	0	0	0	0	663	2003	0	0	0	1283
sample_33_lung	Male	Lung	batch_2	H27098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	46	0	0	120	0	0	0	0	0	0	2782	0	0	0	660
sample_34_kidney	Male	Kidney	batch_2	H27098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	905	6184	127	0	0	0	0	0	0	0	0	0	1955	354
sample_35_liver	Male	Liver	batch_2	H27423	0	0	0	0	0	0	0	24454	0	0	0	0	7409	0	0	0	2103	283	0	0	1575	0	0	0	0	0	0	0	0	0	0	2097
sample_36_brain	Male	Brain	batch_2	H27431	0	0	3365	0	0	0	0	0	15174	0	0	0	0	4748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358
sample_37_liver	Male	Liver	batch_2	H27431	0	0	0	0	0	0	0	25772	0	0	0	0	10697	0	0	0	1421	632	0	0	2069	0	0	0	0	0	0	0	0	0	0	2213
sample_38_lung	Male	Lung	batch_2	H27431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	57	0	0	276	0	0	0	0	0	0	7683	0	0	0	800
sample_39_heart	Male	Heart	batch_2	H27464	0	0	0	15819	0	0	0	1617	0	0	0	0	0	0	0	0	4347	0	0	0	1618	0	0	0	0	0	649	6061	0	0	0	1410
sample_3_kidney	Female	Kidney	batch_1	H26547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3037	12635	339	0	0	0	0	0	0	0	0	0	1502	1055
sample_40_liver	Male	Liver	batch_2	H27464	0	0	0	0	0	0	0	16382	0	0	0	0	11481	0	0	0	603	354	0	0	1711	0	0	0	0	0	0	0	0	0	0	1516
sample_41_thymus	Female	Thymus	batch_2	H27471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4727	0	0	137
sample_42_heart	Female	Heart	batch_2	H27472	0	0	0	524	0	0	0	12	0	0	0	0	0	0	0	0	18	0	0	0	17	0	0	0	0	0	23	80	0	0	0	32
sample_43_liver	Female	Liver	batch_2	H27472	0	0	0	0	0	0	0	16410	0	0	0	0	3497	0	0	0	1028	273	0	0	790	0	0	0	0	0	0	0	0	0	0	802
sample_44_lung	Female	Lung	batch_2	H27472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	46	0	0	118	0	0	0	0	0	0	8583	0	0	0	763
sample_46_liver	Male	Liver	batch_2	H27469	0	0	0	0	0	0	0	16477	0	0	0	0	1983	0	0	0	532	220	0	0	577	0	0	0	0	0	0	0	0	0	0	783
sample_47_lung	Male	Lung	batch_2	H27469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	790	238	0	0	531	0	0	0	0	0	0	17150	0	0	0	786
sample_49_stomach	Female	Stomach	batch_3	H27769	0	0	0	0	0	0	311	0	0	0	770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	146
sample_4_lung	Female	Lung	batch_1	H26547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	239	0	0	371	0	0	0	0	0	0	8041	0	0	0	1342
sample_53_eye	Male	Eye	batch_3	H27846	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	341	0	45	0	0	0	0	0	0	0	0
sample_54_thymus	Female	Thymus	batch_3	H27847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	912	0	0	112
sample_55_eye	Female	Eye	batch_3	H27851	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	372	0	121	0	0	0	0	0	0	0	0
sample_57_spleen	Male	Spleen	batch_3	H27895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	219	0	0	0	0	0	0	1378	0	0	0	419
sample_58_cerebellum	Female	Cerebellum	batch_3	H27899	0	0	790	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	0	774	0	0	0	0	0	0	0	0	0
sample_5_kidney	Female	Kidney	batch_1	H27058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010	5187	182	0	0	0	0	0	0	0	0	0	1239	408
sample_60_thymus	Male	Thymus	batch_3	H27907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1517	0	0	82
sample_61_pancreas	Female	Pancreas	batch_3	H27917	1488	0	0	0	0	474	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0	0	677	0	0	0	160
