	BaselineProp	PropMean.Healthy	PropMean.Moderate	PropMean.Severe	Fstatistic	P.Value	FDR
Neutrophil	0.02441766824183672	-0.0	0.0012044311618173856	0.055593846147918444	34.534717478697665	3.5464680681503307e-07	3.5464680681503306e-06
Plasma	0.01581754364639205	0.00022442760703424391	0.0021499086366454294	0.050912722901676845	8.718136661110904	0.0020566728555593355	0.010283364277796678
pDC	0.002309574096303162	0.0011342771894175666	0.008209772844521212	0.0010656923804694108	5.78527275291017	0.010522183964379013	0.034934722182385976
NK cells	0.016425326303313934	0.00889432932164376	0.05246592278730976	0.017978750490470853	5.391240880377333	0.01397388887295439	0.034934722182385976
T cells	0.11724127452023156	0.09459448056708913	0.32502956335001865	0.13709743471955105	3.1551240856189144	0.06468748601498152	0.12937497202996304
mDC	0.014860285961740083	0.02377618158821232	0.030831148522583098	0.008875552878499313	2.4842288746734167	0.10903384932315341	0.16737378810281534
B cells	0.003342804613070366	0.0035032662274645846	0.01298951820326937	0.004005390607425881	2.394586358394031	0.11716165167197073	0.16737378810281534
Epithelial	0.05365201403977937	0.130245919439191	0.05190340568188189	0.11845537178007812	1.8134668918001315	0.19018655851898034	0.23773319814872543
Macrophages	0.7508698889277194	0.735289783112163	0.5129958436193349	0.6043162370636123	1.6207397118289417	0.22391107063816473	0.24879007848684973
Mast	0.0010636196496132983	0.002337334947784396	0.0022204851926184766	0.0016990010302980205	0.6920734683061623	0.5127128119260056	0.5127128119260056
