clusters	baseline_props	mean_props_HC	mean_props_M	mean_props_S	p_values
B	0.003342804613070366	0.0033250426288066693	0.008097207319697425	0.0033777340914034745	0.20806174008844802
Epithelial	0.05365201403977937	0.06277536341378398	0.02929785399368793	0.04876511135400371	0.2120832582136854
Macrophages	0.7508698889277194	0.8486532515299985	0.6012936252026994	0.7203697612654681	0.0005107354470855474
Mast	0.0010636196496132983	0.0008306866669473634	0.0006327482345566673	0.0009628788958694389	0.7353196943442258
NK	0.016425326303313934	0.00513359776132724	0.040826815319019695	0.017599015734578068	0.004478511839028939
Neutrophil	0.02441766824183672	0.0	0.00039555559528480064	0.0432254826476366	1.5691345736645879e-07
Plasma	0.01581754364639205	0.00034118457683223434	0.0018402851280541533	0.025599572411954746	0.0001066962531050264
T	0.11724127452023156	0.05658816838723712	0.28747359029116637	0.12944742773554946	4.4666245342661615e-06
mDC	0.014860285961740083	0.021634552794479952	0.02256241455596975	0.008486940987381472	0.24547728594256601
pDC	0.002309574096303162	0.0007181522405864895	0.007579904359863816	0.0021660748761551775	0.06438995335098101
