clusters	baseline_props	mean_props_HC	mean_props_M	mean_props_S	f_statistics	p_values	adjusted_p_values
B	0.003342804613070366	0.003503266227464584	0.012989518203269372	0.004005390607425881	2.5934050157913315	0.07476503006712454	0.10680718581017792
Epithelial	0.05365201403977937	0.130245919439191	0.05190340568188189	0.11845537178007813	1.5360410559261228	0.21523150646029066	0.24997814218878822
Macrophages	0.7508698889277194	0.735289783112163	0.5129958436193349	0.6043162370636124	1.4917423118448982	0.2249803279699094	0.24997814218878822
Mast	0.0010636196496132983	0.002337334947784396	0.0022204851926184766	0.0016990010302980203	1.1648725310853625	0.3119624250100448	0.3119624250100448
NK	0.016425326303313934	0.00889432932164376	0.052465922787309764	0.017978750490470853	4.841923135600702	0.00789186232700545	0.026306207756684834
Neutrophil	0.02441766824183672	0.0	0.0012044311618173856	0.055593846147918444	92.44143775173792	0.0	0.0
Plasma	0.01581754364639205	0.00022442760703424391	0.00214990863664543	0.050912722901676845	10.404121694286905	3.030730776132362e-05	0.0001515365388066181
T	0.11724127452023156	0.09459448056708913	0.3250295633500187	0.13709743471955108	3.0819101197436	0.04587155275465382	0.0842506394089652
mDC	0.014860285961740083	0.02377618158821232	0.0308311485225831	0.008875552878499313	2.9847847441205357	0.050550383645379116	0.0842506394089652
pDC	0.002309574096303162	0.0011342771894175666	0.00820977284452121	0.001065692380469411	4.0237784226475	0.01788525904148497	0.04471314760371242
