clusters	baseline_props	mean_props_Healthy	mean_props_Moderate	mean_props_Severe	f_statistics	p_values	adjusted_p_values
B cells	0.003342804613070366	0.003503266227464584	0.012989518203269372	0.004005390607425881	3.200032170678921	0.07537268783808648	0.12562114639681082
Epithelial	0.05365201403977937	0.130245919439191	0.05190340568188189	0.11845537178007813	0.3100401109952232	0.7388828881905776	0.8209809868784195
Macrophages	0.7508698889277194	0.735289783112163	0.5129958436193349	0.6043162370636124	1.2379126787782708	0.3231293688155903	0.40391171101948786
Mast	0.0010636196496132983	0.002337334947784396	0.0022204851926184766	0.0016990010302980203	0.042211940613673865	0.9588022465954948	0.9588022465954948
NK cells	0.016425326303313934	0.00889432932164376	0.052465922787309764	0.017978750490470853	7.534889884095131	0.007097252421132572	0.023657508070441906
Neutrophil	0.02441766824183672	0.0	0.0012044311618173856	0.055593846147918444	7.709303896066858	0.006560077095859929	0.023657508070441906
Plasma	0.01581754364639205	0.00022442760703424391	0.00214990863664543	0.050912722901676845	1.38739262383046	0.2855602613616618	0.40391171101948786
T cells	0.11724127452023156	0.09459448056708913	0.3250295633500187	0.13709743471955108	5.454035345133812	0.019765386647739747	0.049100308500379164
mDC	0.014860285961740083	0.02377618158821232	0.0308311485225831	0.008875552878499313	5.055541485719237	0.024550154250189582	0.049100308500379164
pDC	0.002309574096303162	0.0011342771894175666	0.00820977284452121	0.001065692380469411	7.893591735336683	0.006043004830271204	0.023657508070441906
