Covariate	Cell Type	credible_effect
Condition[T.Fetal]	Cardiomyocytes	True
Condition[T.Fetal]	Endothelial cells	False
Condition[T.Fetal]	Epicardial cells	False
Condition[T.Fetal]	Erythroid	True
Condition[T.Fetal]	Fibroblast	False
Condition[T.Fetal]	Immune cells	True
Condition[T.Fetal]	Neurons	False
Condition[T.Fetal]	Smooth muscle cells	False
Condition[T.Young]	Cardiomyocytes	False
Condition[T.Young]	Endothelial cells	False
Condition[T.Young]	Epicardial cells	False
Condition[T.Young]	Erythroid	False
Condition[T.Young]	Fibroblast	False
Condition[T.Young]	Immune cells	False
Condition[T.Young]	Neurons	False
Condition[T.Young]	Smooth muscle cells	False
