	BaselineProp.clusters	BaselineProp.Freq	PropMean.CTRL	PropMean.IZ	PropRatio	Tstatistic	P.Value	FDR
Adipocyte	Adipocyte	0.0010244152296397474	0.00035547578337763593	0.002083881957018014	0.17058345468200772	-1.4425047937249182	0.16769027173633447	0.3074321648499465
Cardiomyocyte	Cardiomyocyte	0.3043826584888562	0.4424711795194468	0.152491374797572	2.9016144690597407	2.8620454499440013	0.010955039582465678	0.06025271770356123
Cycling cells	Cycling cells	0.03397643844971829	0.0054285220860890195	0.06337261728358394	0.08566037381408935	-5.845424620926509	1.6834172272221738e-05	0.00018517589499443912
Endothelial	Endothelial	0.16606033543032006	0.14692283419802335	0.20699993549772458	0.7097723670529278	-1.198902182846057	0.24643328525019081	0.3388457672190124
Fibroblast	Fibroblast	0.2599781983425487	0.22586245022317064	0.2715491918437578	0.8317551920873545	-0.6336215440008147	0.534462649493451	0.534462649493451
Lymphoid	Lymphoid	0.023929289082097686	0.012775373745257083	0.04300170550796672	0.2970899315351632	-2.2817533242465684	0.03516579210830027	0.09293387073625403
Mast	Mast	0.0036511209466647404	0.003495334018138048	0.0030408528946622385	1.1494584378854968	1.052530689811722	0.30757792927214034	0.3476700745118079
Myeloid	Myeloid	0.12704062200391378	0.07477751374450733	0.1851366248683087	0.40390448836203013	-2.4595116405123822	0.024498179403132953	0.08982665781148749
Neuronal	Neuronal	0.010099683481961098	0.01373415026970701	0.007296817778463263	1.8822109427267997	2.1898284408823554	0.0422426685164791	0.09293387073625403
Pericyte	Pericyte	0.057564255788602726	0.06435104079520841	0.04887483689612377	1.316649729839038	1.274589432288602	0.21899885966073543	0.3388457672190124
vSMCs	vSMCs	0.012292982755676968	0.00982612561707464	0.016152160674819113	0.6083474412431624	-1.0319099846545883	0.31606370410164353	0.3476700745118079
