	BaselineProp.clusters	BaselineProp.Freq	PropMean.Control	PropMean.Ischaemic	PropRatio	Tstatistic	P.Value	FDR
Cycling cells	Cycling cells	0.0336371555994747	0.005400419085364836	0.061831222464398074	0.08734129570985523	-4.23035211462413	0.0007244026026592372	0.008692831231910846
Cardiomyocyte	Cardiomyocyte	0.3013431457956806	0.4402007511873709	0.14863053270757803	2.9617114543580385	3.255212644179266	0.005316105773169411	0.031896634639016465
Myeloid	Myeloid	0.12577201627897905	0.07441696580558282	0.17991217381858984	0.41362940720520336	-2.6184135657548806	0.01935461276750984	0.07741845107003936
Age	Age	0.009985827406415375	0.004990341424151309	0.02565800071940094	0.19449455468983334	-2.334960313454554	0.03382662342133804	0.10147987026401412
Lymphoid	Lymphoid	0.02369033533136564	0.012710493167318567	0.04145848901515473	0.3065836085505281	-2.077101696585099	0.05535596499120334	0.13285431597888803
Neuronal	Neuronal	0.00999882978585081	0.013667489371200499	0.007016064330528663	1.948027943776087	1.911948387723463	0.07484619231312323	0.14969238462624646
Pericyte	Pericyte	0.05698942906551899	0.06402537193518176	0.04776850338706226	1.3403261018330868	1.5742629122106568	0.1359287356283343	0.23302068964857306
Endothelial	Endothelial	0.16440208558166144	0.14621273181186054	0.20126711497059768	0.7264611103171036	-1.3529692414817114	0.19607366071050625	0.29411049106575937
Vsmcs	Vsmcs	0.012170227151568737	0.009777899564386872	0.015734057699642978	0.6214480556156052	-1.055158168811874	0.30777390191591325	0.410365202554551
Adipocyte	Adipocyte	0.0010141855959640614	0.00035380571637690664	0.0020208306412765166	0.17507935061466356	-0.8169571295258835	0.4265244833535745	0.48994527626450857
Mast	Mast	0.0036146614830513983	0.0034792064779230105	0.0029971904836623643	1.1608226093363458	0.7526273425665997	0.4631273514127323	0.48994527626450857
Fibroblast	Fibroblast	0.25738210092446917	0.22476452445328188	0.26570581976210805	0.8459149470437577	-0.7077313225228088	0.48994527626450857	0.48994527626450857
