	clusters	baseline_props	mean_props_Control	mean_props_Ischaemic	p_values	comb	ctrl	ischaemic	adjusted_p_values	-log10(adjusted-p-value)	correct
0	Adipocyte	0.0033880988333220645	7.597850980066559e-05	0.0004024195585523786	0.6342875638141756	['CK158', 'CK361']	CK158	CK361	0.6983075356959128	0.15595327130067957	True
1	Cardiomyocyte	0.34717120040867533	0.33841968169775827	0.16418933418194204	0.00036383092769446	['CK158', 'CK361']	CK158	CK361	0.0026216651009728525	2.5814227871268107	True
2	Cycling cells	0.007647637721334506	0.007274676160344674	0.08471319913303543	3.2045848803159163e-05	['CK158', 'CK361']	CK158	CK361	0.0003732398860603244	3.428011951821834	True
3	Endothelial	0.17066702726255137	0.17092234924607033	0.12144920388554376	0.08449919409440533	['CK158', 'CK361']	CK158	CK361	0.22089816839022505	0.6558078851304486	True
4	Fibroblast	0.24275615454538624	0.26521498824174417	0.29559569787077106	0.39751581555536375	['CK158', 'CK361']	CK158	CK361	0.6777981835841173	0.16889959935295118	True
5	Lymphoid	0.027059716180989086	0.010860344631535124	0.036052566322838084	0.045354120476262	['CK158', 'CK361']	CK158	CK361	0.15312571640490572	0.8149518664222035	True
6	Mast	0.0036284960897883752	0.002078597797299419	0.0008172828719048802	0.5275039493788003	['CK158', 'CK361']	CK158	CK361	0.6777981835841173	0.16889959935295118	True
7	Myeloid	0.10590250388767439	0.1164499224108984	0.22184160052307278	0.006184522595887315	['CK158', 'CK361']	CK158	CK361	0.02915560652346877	1.535277919529997	True
8	Neuronal	0.013943040875046013	0.010367157399973664	0.006210770352152475	0.4369710111021	['CK158', 'CK361']	CK158	CK361	0.6777981835841173	0.16889959935295118	True
9	Pericyte	0.06304418050828994	0.0612784924591981	0.05221242969262241	0.4380362267379755	['CK158', 'CK361']	CK158	CK361	0.6777981835841173	0.16889959935295118	True
10	Vsmcs	0.014791943686942673	0.009018452181356586	0.006312431586866129	0.6101811931272594	['CK158', 'CK361']	CK158	CK361	0.6971554054790712	0.15667040092775422	True
11	Adipocyte	0.0034970374442611935	6.571459848671813e-05	0.002092572176659875	0.29572780495876677	['CK158', 'CK363']	CK158	CK363	0.5914556099175335	0.22807784459698216	True
12	Cardiomyocyte	0.35380398265225094	0.33908870179124495	0.28864732816518973	0.2987880937147342	['CK158', 'CK363']	CK158	CK363	0.5916004255551737	0.22797152227454137	False
13	Cycling cells	0.004306395455378413	0.006899351069493022	0.018657107722987065	0.25040494519901296	['CK158', 'CK363']	CK158	CK363	0.5299147199646033	0.2757940164913118	False
14	Endothelial	0.17272921629711074	0.16714427442394086	0.16718943094762895	0.5408320066500114	['CK158', 'CK363']	CK158	CK363	0.6777981835841173	0.16889959935295118	True
15	Fibroblast	0.24406725306945207	0.2626505161542164	0.3625161276413994	0.08478919594776314	['CK158', 'CK363']	CK158	CK363	0.22089816839022505	0.6558078851304486	True
16	Lymphoid	0.026411031702400587	0.009887319353479224	0.017696050494343293	0.5302852546501848	['CK158', 'CK363']	CK158	CK363	0.6777981835841173	0.16889959935295118	True
17	Mast	0.0036344755970924196	0.0023155040623588155	9.938777525427076e-05	0.3469387635934067	['CK158', 'CK363']	CK158	CK363	0.6462761286097102	0.18958188524171196	True
18	Myeloid	0.09893256367967748	0.11079087965730128	0.05272527353718111	0.0447714561557082	['CK158', 'CK363']	CK158	CK363	0.15312571640490572	0.8149518664222035	False
19	Neuronal	0.014003420682914911	0.011560470157206407	0.005544386594489919	0.4535379819189582	['CK158', 'CK363']	CK158	CK363	0.6777981835841173	0.16889959935295118	True
20	Pericyte	0.06345061389041598	0.06067490261406243	0.05799250976862479	0.5621768321857235	['CK158', 'CK363']	CK158	CK363	0.685134579740754	0.16422411245200208	True
21	Vsmcs	0.015164009529045263	0.008768290854326965	0.015646891848878762	0.49983877848148967	['CK158', 'CK363']	CK158	CK363	0.6777981835841173	0.16889959935295118	True
22	Adipocyte	0.0034423671246289894	7.117235096509706e-05	0.00043518238869899584	0.5931566587529851	['CK158', 'CK365']	CK158	CK365	0.695094519264713	0.15795613583574525	True
23	Cardiomyocyte	0.3461873871668554	0.33733237141835676	0.010339172659566711	1.4636942239763763e-07	['CK158', 'CK365']	CK158	CK365	9.660381878244083e-06	5.0150057054337704	True
24	Cycling cells	0.004658670175331232	0.0066264380777022675	0.03133763951528746	0.058258842444986386	['CK158', 'CK365']	CK158	CK365	0.17216792244936274	0.764047761134073	False
25	Endothelial	0.1723325479636486	0.1657784641054496	0.14820504902531706	0.3731162421070924	['CK158', 'CK365']	CK158	CK365	0.6680522775952714	0.17518955102325845	True
26	Fibroblast	0.24208255561335332	0.26791637837733	0.3004678548313734	0.38297981109927426	['CK158', 'CK365']	CK158	CK365	0.6770535946219313	0.16937695180629112	True
27	Lymphoid	0.02840335363054986	0.010048580875552899	0.08882467572052168	0.00017284643056121528	['CK158', 'CK365']	CK158	CK365	0.001368943730044825	2.8636144030225292	False
28	Mast	0.004077292616505003	0.00220536548838804	0.01453290166963185	0.07038459763588047	['CK158', 'CK365']	CK158	CK365	0.1990878618843476	0.7009552175082201	True
29	Myeloid	0.10567302102138858	0.11402554397593882	0.288217789225795	0.0018006022417470786	['CK158', 'CK365']	CK158	CK365	0.010186264110454903	1.991985067583936	True
