cell_type	baseline_props	mean_props_CTRL	mean_props_IZ	p_values
Adipocyte	0.0004066842201308689	0.0002234768818498852	0.0014187815501968935	0.17856268882586002
Cardiomyocyte	0.12083735238144894	0.4362759920959913	0.14144780111113342	8.247236848228812e-06
Cycling cells	0.013488359967673818	0.0041243211191028546	0.06687864075563821	2.9214153512120572e-05
Endothelial	0.06592455486326547	0.1468927725242558	0.18552994143494106	0.16842157352548037
Fibroblast	0.1032091556088532	0.22395955413443352	0.30199942707663885	0.04582046717706657
Lymphoid	0.00949972627023645	0.011468887746358205	0.03660915488043169	0.013907758637121164
Mast	0.0014494642717484815	0.0031057482939275153	0.002966351960969711	0.5885668311548742
Myeloid	0.05043405719648583	0.07417108530193595	0.18610465860935718	0.0005297469512754885
Neuronal	0.00400948929846972	0.013423647371760388	0.0046358907541296165	0.06888929312860635
Pericyte	0.02285252483119998	0.06246239588229692	0.04786822342433586	0.2895615093567404
vSMCs	0.004880210641570426	0.008460064813641898	0.014339577479876582	0.30310577343704226
