clusters	baseline_props	mean_props_Control	mean_props_Ischaemic	p_values
Adipocyte	0.0027268698349800567	0.0001969971004011715	0.0013815819441493002	0.1763822482234017
Cardiomyocyte	0.33634870564926095	0.4355571570124493	0.13944154321509072	0.0034951678862215475
Cycling cells	0.015537422769102426	0.004474050109244489	0.0669455675489487	0.0011214584470105955
Endothelial	0.17041111603535025	0.1454182276121157	0.18812238468522302	0.27482828989856806
Fibroblast	0.24666440730988817	0.22316101782149464	0.295853666448596	0.2049269221763365
Lymphoid	0.02640319090695795	0.012045772162914187	0.03459826164636695	0.18123527646900606
Mast	0.0037487942855653172	0.002700973400506073	0.0028328153738222416	0.5843438632256825
Myeloid	0.10991944524101253	0.07455110935210635	0.18880734310053737	0.04611519616609182
Neuronal	0.01270106102870252	0.012109506910605316	0.004147093014336746	0.3100449412447185
Pericyte	0.06127375583305091	0.06272354238892655	0.04799994342722321	0.416507124033451
Vsmcs	0.01426523110612894	0.008167159037359508	0.013275631277781192	0.4857877003649897
