cell_type	baseline_props	mean_props_CTRL	mean_props_IZ	prop_ratio	t_statistics	p_values	adjusted_p_values
Adipocyte	0.0027268698349800567	0.00035547578337763593	0.0020838819570180135	0.17058345468200775	-1.469685407540965	0.1592673196705349	0.2919900860626473
Cardiomyocyte	0.33634870564926095	0.4424711795194468	0.15249137479757197	2.9016144690597416	2.9187077195989297	0.009311917955034804	0.05121554875269142
Cycling cells	0.015537422769102426	0.005428522086089019	0.06337261728358393	0.08566037381408935	-5.8454246209265115	1.683417227222162e-05	0.00018517589499443782
Endothelial	0.17041111603535025	0.14692283419802332	0.20699993549772447	0.7097723670529281	-1.1989021828460589	0.24643328525019015	0.33884576721901144
Fibroblast	0.24666440730988817	0.22586245022317067	0.2715491918437577	0.8317551920873548	-0.6336215440008154	0.5344626494934508	0.5344626494934508
Lymphoid	0.02640319090695795	0.012775373745257085	0.0430017055079667	0.2970899315351634	-2.281753324246572	0.035165792108299995	0.09293387073625413
Mast	0.0037487942855653172	0.0034953340181380485	0.003040852894662238	1.1494584378854973	1.0702946743295332	0.2989217910052422	0.3476700745118088
Myeloid	0.10991944524101253	0.07477751374450733	0.18513662486830865	0.40390448836203025	-2.4595116405123822	0.024498179403132953	0.08982665781148749
Neuronal	0.01270106102870252	0.013734150269707014	0.007296817778463262	1.8822109427268006	2.189828440882355	0.04224266851647915	0.09293387073625413
Pericyte	0.06127375583305091	0.06435104079520843	0.04887483689612376	1.3166497298390385	1.2745894322885958	0.21899885966073745	0.33884576721901144
vSMCs	0.01426523110612894	0.00982612561707464	0.016152160674819113	0.6083474412431624	-1.031909984654586	0.31606370410164436	0.3476700745118088
