clusters	baseline_props	mean_props_Control	mean_props_Ischaemic	prop_ratio	t_statistics	p_values	adjusted_p_values
Adipocyte	0.002705009180480488	0.0003538057163769067	0.002020830641276516	0.17507935061466362	-0.8547758237817633	0.40591508619873706	0.4870981034384845
Age	0.008016757609454602	0.004990341424151308	0.025658000719400918	0.19449455468983348	-2.3406564423103156	0.033243605028536544	0.09973081508560963
Cardiomyocyte	0.333652279603817	0.4402007511873709	0.148630532707578	2.9617114543580385	3.276902988691215	0.005006248202455439	0.030037489214732635
Cycling cells	0.015412863016886913	0.005400419085364836	0.061831222464398074	0.08734129570985523	-4.246378563348601	0.0006812336235710338	0.008174803482852407
Endothelial	0.16904497142413819	0.14621273181186054	0.2012671149705976	0.7264611103171039	-1.3595713329510797	0.19374673563341108	0.29062010345011663
Fibroblast	0.24468695854560502	0.22476452445328188	0.26570581976210805	0.8459149470437577	-0.7116433915807554	0.4874389221286678	0.4874389221286678
Lymphoid	0.026191522925340712	0.012710493167318567	0.04145848901515471	0.30658360855052824	-2.084526676169643	0.05434059534664357	0.13041742883194457
Mast	0.0037187411104502317	0.00347920647792301	0.002997190483662364	1.160822609336346	0.7292206128467001	0.4769273747033498	0.4874389221286678
Myeloid	0.10903824769194963	0.07441696580558284	0.17991217381858976	0.41362940720520364	-2.63279427726323	0.018643498073152666	0.07457399229261066
Neuronal	0.012599239701052523	0.013667489371200499	0.0070160643305286615	1.9480279437760872	1.9146113221807841	0.07451017789532942	0.14902035579065884
Pericyte	0.06078253898471644	0.06402537193518178	0.04776850338706224	1.3403261018330876	1.5760050371530787	0.13555649512101298	0.23238256306459365
Vsmcs	0.014150870206108251	0.009777899564386874	0.015734057699642975	0.6214480556156056	-1.058081101461634	0.30650527174856557	0.4086736956647541
