	BaselineProp.clusters	BaselineProp.Freq	PropMean.heart	PropMean.muscle	PropRatio	Tstatistic	P.Value	FDR
Cardiomyocytes	Cardiomyocytes	0.4316455089820359	0.5883391686646487	-7.373805097858145e-18	-7.978772978899896e+16	33.31613328152284	7.742756426702697e-10	1.1614134640054045e-08
Endocardial cells	Endocardial cells	0.034404790419161675	0.03998002325761499	7.550025465877582e-19	5.295349457866747e+16	20.565453704539422	3.46334385963519e-08	2.597507894726393e-07
Myeloid cells	Myeloid cells	0.02547544910179641	0.02674550858905358	-7.067286054135509e-19	-3.7844100810668504e+16	18.866743358843504	6.796109411513128e-08	3.0385783641244407e-07
Cardiomyocytes/Endothelial cells	Cardiomyocytes/Endothelial cells	0.03444311377245509	0.054096412260079205	-5.412654019741403e-18	-9994433795837506.0	18.446282869817328	8.102875637665175e-08	3.0385783641244407e-07
Lymphatic endothelial cells	Lymphatic endothelial cells	0.0044263473053892215	0.0049110691717362985	-1.6476177581968056e-19	-2.9807090554250256e+16	15.172386119010062	3.693716877112853e-07	1.0749177797494135e-06
Erythroblasts	Erythroblasts	0.02185389221556886	0.020594325337376942	-4.037663497472633e-18	-5100555147864085.0	14.876732126892936	4.2996711189976544e-07	1.0749177797494135e-06
Lymphoid cells	Lymphoid cells	0.0519185628742515	0.04263900944044641	-2.285745135231009e-18	-1.8654314859183588e+16	11.894994246765297	2.6698917178712627e-06	5.721196538295563e-06
Epicardial fat cells	Epicardial fat cells	0.0035065868263473056	0.003481839575392791	-2.590575894469497e-19	-1.3440407528017274e+16	9.945756834314775	9.130608083456302e-06	1.7119890156480566e-05
Skeletal muscle cells	Skeletal muscle cells	0.06919281437125749	-0.0	0.3239335834890788	0.0	-9.733644675204543	2.3642871334477818e-05	3.940478555746303e-05
Satellite cells	Satellite cells	0.049810778443113775	-0.0	0.23878807857300602	0.0	-9.344962870214513	3.097339603007726e-05	4.646009404511589e-05
Lymphoid and Myeloid cells	Lymphoid and Myeloid cells	0.007894610778443114	-0.0	0.03780331102164108	0.0	-7.129124221349223	0.00017848238925489152	0.00024338507625667024
Schwann cells	Schwann cells	0.01515688622754491	0.009287817606243018	0.03866110065144347	0.24023676123396254	-4.773739706787006	0.001419728145834788	0.001774660182293485
Stromal cells	Stromal cells	0.16306586826347305	0.13057532274892444	0.23056523980373278	0.5663270094836319	-2.5741016906728955	0.03303904235731282	0.03812197195074556
Vascular endothelial cells	Vascular endothelial cells	0.0592	0.051825445013374244	0.0916880194415774	0.5652368251491882	-2.04118539671231	0.07569572322836376	0.08110256060181832
Smooth muscle cells	Smooth muscle cells	0.028004790419161676	0.02752405833510929	0.038560667019520475	0.7137858461103863	-1.2211822891831432	0.25693554536382723	0.25693554536382723
