clusters	baseline_props	mean_props_Adrenal	mean_props_Brain	mean_props_Heart	mean_props_Intestine	mean_props_Stomach	mean_props_Placenta	mean_props_Liver	mean_props_Eye	mean_props_Lung	mean_props_Kidney	mean_props_Muscle	mean_props_Thymus	p_values
Adrenocortical cells	0.08443627869702834	0.8252722148399583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Astrocytes	0.012881242215188497	0.0	0.11408348124710602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.10778856063072e-10
Cardiomyocytes	0.06997089528826711	0.0	0.0	0.6176771674168825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chromaffin cells	0.007953320639496057	0.06328283148966588	0.0	0.0	0.0157164989012344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4651155142898558e-10
Epithelial cells	0.0008852553728788816	0.0	0.0	0.0	0.0	0.1966894985040894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.085260866634762e-11
Erythroblasts	0.21212271813779543	0.004168130260204345	0.0	0.026412169704710407	0.0	0.0	0.01709784818715174	0.6708790284860034	0.0	0.0	0.0	0.0	0.0	0.0
Excitatory neurons	0.07568622822194129	0.0	0.685453820158775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ganglion cells	0.001483191019472512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25323518377693033	0.0	0.0	0.0	0.0	2.851940905657102e-13
Goblet cells	0.0018668016810533608	0.0	0.0	0.0	0.0	0.4281265781618766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8041124150158794e-16
Hepatoblasts	0.06575739032928393	0.0	0.0	0.0	0.0	0.0	0.0	0.21408189199783523	0.0	0.0	0.0	0.0	0.0	1.329492071988625e-11
Inhibitory neurons	0.019253527820314902	0.0	0.16598430945706322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.74924387832228e-11
Intestinal epithelial cells	0.025493801659310245	0.0	0.0	0.0	0.4320461385574679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.312081756375185e-16
Lymphoid cells	0.0357674232235099	0.0	0.0	0.06310779944855904	0.20496571728334673	0.0	0.03200261375976439	0.0254287311099633	0.0	0.0369128738147243	0.0	0.0	0.0	0.0
Mesangial cells	0.012435508369545973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11817033840325762	0.0	0.0	1.7122359414370097e-08
Metanephric cells	0.06569992638402689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6716820170991409	0.0	0.0	0.0
Myeloid cells	0.040496550610204976	0.013951012636853168	0.0	0.029811923704159304	0.06495930594354181	0.0	0.3282799350829277	0.034548481523456714	0.0	0.022641466776731484	0.014429607067377462	0.0	0.0	0.0
Photoreceptor cells	0.0033872666109628783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5837208844833213	0.0	0.0	0.0	0.0	0.0
Retinal pigment cells	0.0008914676912850491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15608288316651098	0.0	0.0	0.0	0.0	5.411182613102028e-11
Satellite cells	0.008074460848416325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24749571439543078	0.0	2.296198319204211e-12
Skeletal muscle cells	0.011216340882335583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36018715645434435	0.0	7.697546304067751e-15
Smooth muscle cells	0.010908831121230287	0.0	0.0	0.025214613961154868	0.038395106313633326	0.0	0.09323611982106186	0.0	0.0	0.0	0.0	0.032399080093701585	0.0	0.0
Stromal cells	0.12968991212675615	0.03437467987228189	0.0	0.15314746619845804	0.2065760835737509	0.27281844296543706	0.20566511815439636	0.0	0.0	0.8524206439508858	0.0	0.22928307214021493	0.0	0.0
Thymocytes	0.030659344414038597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9430508186856071	0.0
Trophoblast giant cells	0.00938060079331306	0.0	0.0	0.0	0.0	0.0	0.235136228810028	0.0	0.0	0.0	0.0	0.0	0.0	4.522591451665689e-12
Ureteric bud cells	0.014119046657617389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13905082955615133	0.0	0.0	1.4499285408672595e-09
Vascular endothelial cells	0.049482669184726394	0.04456692012567665	0.0200248548189192	0.052897768178545704	0.015248018918776012	0.08294464145533728	0.05928611859585703	0.03551417037982595	0.0	0.07628173714832628	0.038355744052444865	0.09177299134131926	0.05694918131439271	7.426542656295932e-07
