	baseline_props	mean_props_Heart	mean_props_Muscle	p_values
Cardiomyocytes	0.10198616430789847	0.5516439858020441	0.0	3.8403969928935617e-11
Cardiomyocytes/Endothelial cells	0.008137976620577875	0.0368391165856573	0.0	0.0015576244757021223
Endocardial cells	0.008128921848260126	0.041311825656072845	0.0	0.0014392823448439239
Epicardial fat cells	0.0008285116670741314	0.002527366285427826	0.0	0.10856714317465095
Erythroblasts	0.30685944276931154	0.022489577197209086	0.0	0.0035112140180701733
Lymphatic endothelial cells	0.0021052345638768915	0.0029755751595279874	0.0	0.10493246869913417
Lymphoid and Myeloid cells	0.0018652830974565146	0.0	0.03401261164902684	0.0026911203184740327
Lymphoid cells	0.04462418167495178	0.05891493773167467	0.0	0.0005933250162145168
Myeloid cells	0.030725106167205425	0.02817466060790588	0.0	0.00284731902341324
Satellite cells	0.011768940319995654	0.0	0.23440401153643453	3.971218327070201e-06
Schwann cells	0.003581162451670153	0.006328115933958146	0.03152618831908661	0.07959359453243403
Skeletal muscle cells	0.016348391419697753	0.0	0.32509014855110646	2.5812439563518396e-07
Smooth muscle cells	0.010385823848459331	0.018881333204307713	0.03277197466502996	0.3487122484764618
Stromal cells	0.057792084318039824	0.1328140227461824	0.22578121251158173	0.14108704038250805
Vascular endothelial cells	0.04026430880395512	0.0444115550402539	0.08135068785699454	0.19883575313178514
Parietal and chief cells	0.0011544834705131339	0.0	0.0	1.0
Astrocytes	0.01877507040085477	0.0	0.0	1.0
Epithelial cells	0.001290305055279385	0.0	0.0	1.0
Goblet cells	0.0027209590814838962	0.0	0.0	1.0
Chromaffin cells	0.0017113519680547634	0.0	0.0	1.0
Inhibitory neurons	0.028063003105786907	0.0	0.0	1.0
Hematopoietic stem cells	0.0033004645098199006	0.0	0.0	1.0
ENS glia	0.002822825270058584	0.0	0.0	1.0
Stellate cells	0.01884977227247621	0.0	0.0	1.0
Intestinal epithelial cells	0.03715852189896685	0.0	0.0	1.0
Excitatory neurons	0.11031655484022854	0.0	0.0	1.0
Mesothelial cells	0.00040746475429875314	0.0	0.0	1.0
Megakaryocytes	0.0049869158540008516	0.0	0.0	1.0
Astrocytes/Oligodendrocytes	0.011483714991986527	0.0	0.0	1.0
SKOR2_NPSR1 positive cells	0.0064334157317614245	0.0	0.0	1.0
Limbic system neurons	0.004416465197982597	0.0	0.0	1.0
ENS neurons	0.004862412734631788	0.0	0.0	1.0
Hepatoblasts	0.0958447649833845	0.0	0.0	1.0
