clusters	baseline_props	mean_props_Heart	mean_props_Intestine	mean_props_Muscle	p_values
Cardiomyocytes	0.06997089528826711	0.6219518847611922	0.0	0.0	0.0
Chromaffin cells	0.007953320639496057	0.0	0.015714228371573866	0.0	2.6277285452069865e-05
Erythroblasts	0.21212271813779543	0.025663886814689226	0.0	0.0	5.925710267453857e-06
Intestinal epithelial cells	0.025493801659310245	0.0	0.434123314303144	0.0	0.0
Lymphoid cells	0.0357674232235099	0.060998789442188894	0.20486212488049754	0.0	2.3678725646902878e-12
Myeloid cells	0.040496550610204976	0.03044340084901312	0.06469315753657748	0.0	2.1106915187862896e-08
Satellite cells	0.008074460848416325	0.0	0.0	0.25054613013158367	2.64603154202329e-15
Skeletal muscle cells	0.011216340882335583	0.0	0.0	0.3566562695419184	0.0
Smooth muscle cells	0.010908831121230287	0.02513868458449952	0.03759173466940397	0.03321389161690309	0.5985935559459192
Stromal cells	0.12968991212675615	0.15355902809786381	0.20357135913150734	0.23361643520708913	0.47928507980207824
Vascular endothelial cells	0.049482669184726394	0.05298278757720651	0.015009128489216109	0.09140452621324827	0.07137766977447942
Hepatoblasts	0.06575739032928393	0.0	0.0	0.0	1.0
Adrenocortical cells	0.08443627869702834	0.0	0.0	0.0	1.0
Trophoblast giant cells	0.00938060079331306	0.0	0.0	0.0	1.0
Astrocytes	0.012881242215188497	0.0	0.0	0.0	1.0
Excitatory neurons	0.07568622822194129	0.0	0.0	0.0	1.0
Photoreceptor cells	0.0033872666109628783	0.0	0.0	0.0	1.0
Metanephric cells	0.06569992638402689	0.0	0.0	0.0	1.0
Ganglion cells	0.001483191019472512	0.0	0.0	0.0	1.0
Thymocytes	0.030659344414038597	0.0	0.0	0.0	1.0
Mesangial cells	0.012435508369545973	0.0	0.0	0.0	1.0
Ureteric bud cells	0.014119046657617389	0.0	0.0	0.0	1.0
Inhibitory neurons	0.019253527820314902	0.0	0.0	0.0	1.0
Retinal pigment cells	0.0008914676912850491	0.0	0.0	0.0	1.0
Epithelial cells	0.0008852553728788816	0.0	0.0	0.0	1.0
Goblet cells	0.0018668016810533608	0.0	0.0	0.0	1.0
