clusters	baseline_props	mean_props_Adrenal	mean_props_Brain	mean_props_Heart	mean_props_Intestine	mean_props_Stomach	mean_props_Placenta	mean_props_Liver	mean_props_Eye	mean_props_Lung	mean_props_Kidney	mean_props_Muscle	mean_props_Thymus	f_statistics	p_values	adjusted_p_values
Adrenocortical cells	0.08443627869702834	0.814156177117874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.46231327482673	1.1102230246251565e-16	1.1102230246251565e-16
Astrocytes	0.012881242215188497	0.0	0.11101148085051471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.88838757187067	1.1102230246251565e-16	1.1102230246251565e-16
Cardiomyocytes	0.06997089528826711	0.0	0.0	0.6629073828254519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.73375654191403	1.1102230246251565e-16	1.1102230246251565e-16
Chromaffin cells	0.007953320639496057	0.06502930081153138	0.0	0.0	0.019418683730309177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.8079094945715	1.1102230246251565e-16	1.1102230246251565e-16
Epithelial cells	0.0008852553728788816	0.0	0.0	0.0	0.0	0.20483180170569038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.75081635128835	1.1102230246251565e-16	1.1102230246251565e-16
Erythroblasts	0.21212271813779543	0.007909594350161763	0.0	0.023151214905569848	0.0	0.0	0.023323785605669452	0.6893645675921851	0.0	0.0	0.0	0.0	0.0	163.14815060855656	1.1102230246251565e-16	1.1102230246251565e-16
Excitatory neurons	0.07568622822194129	0.0	0.6982024008722183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.51193013910749	1.1102230246251565e-16	1.1102230246251565e-16
Ganglion cells	0.001483191019472512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20516292430488556	0.0	0.0	0.0	0.0	40.97546047177647	1.1102230246251565e-16	1.1102230246251565e-16
Goblet cells	0.0018668016810533608	0.0	0.0	0.0	0.0	0.42081391503989707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.41760232615763	1.1102230246251565e-16	1.1102230246251565e-16
Hepatoblasts	0.06575739032928393	0.0	0.0	0.0	0.0	0.0	0.0	0.19799224130593146	0.0	0.0	0.0	0.0	0.0	80.71660573641684	1.1102230246251565e-16	1.1102230246251565e-16
Inhibitory neurons	0.019253527820314902	0.0	0.16297112213369047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.32585856036104	1.1102230246251565e-16	1.1102230246251565e-16
Intestinal epithelial cells	0.025493801659310245	0.0	0.0	0.0	0.40600153699286756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.39521857834309	1.1102230246251565e-16	1.1102230246251565e-16
Lymphoid cells	0.0357674232235099	0.0	0.0	0.04783282141761748	0.23862575645806547	0.0	0.037572360029498	0.030753813194293912	0.0	0.03877365867438766	0.0	0.0	0.0	148.9783017104825	1.1102230246251565e-16	1.1102230246251565e-16
