clusters	baseline_props	mean_props_Heart	mean_props_Intestine	mean_props_Muscle	f_statistics	p_values	adjusted_p_values
Cardiomyocytes	0.3425614744749768	0.6629073828254518	0.0	0.0	231.46345970634962	2.00053298371472e-08	7.335287606953975e-08
Chromaffin cells	0.0057482625952341125	0.0	0.019418683730309177	0.0	63.793918059207826	5.110038748923351e-06	1.4052606559539216e-05
Erythroblasts	0.01734363357107012	0.023151214905569845	0.0	0.0	23.99214901871327	0.00025498482600083694	0.0004674721810015344
Intestinal epithelial cells	0.12481181283170364	0.0	0.40600153699286756	0.0	31.423507358181517	9.040919979574902e-05	0.00019890023955064786
Lymphoid cells	0.10059459541659697	0.04783282141761748	0.23862575645806547	0.0	9.552554511994945	0.006034710503053153	0.007375757281509409
Myeloid cells	0.03897565352271172	0.030123249629169457	0.07475162816808191	0.0	20.68332867799515	0.0004430034341086353	0.0006961482535992841
Satellite cells	0.03953071062516157	0.0	0.0	0.25858644025547095	3138.946750797407	1.8818280267396403e-13	2.0700108294136044e-12
Skeletal muscle cells	0.05491263553277878	0.0	0.0	0.3501920159132079	444.89621869047005	1.1233816099576188e-09	6.1785988547669035e-09
Smooth muscle cells	0.0348849587128758	0.030924323156409354	0.0416861841453534	0.04180585553794187	0.6718499430090722	0.5347772533308361	0.5347772533308361
Stromal cells	0.1882555999939172	0.14684715375436197	0.20169578284396966	0.24992623420078397	8.374574866899152	0.008932725312370438	0.009825997843607482
Vascular endothelial cells	0.05238066272297328	0.05821385431141986	0.017820427661353118	0.09948945409259509	17.771574000318136	0.0007677459932903252	0.0010556507407741972
