clusters	baseline_props	mean_props_Heart	mean_props_Muscle	prop_ratio	t_statistics	p_values	adjusted_p_values
Cardiomyocytes	0.06997089528826711	0.6629073828254518	0.0	inf	14.235196229427723	6.739919979889318e-06	2.0219759939667954e-05
Erythroblasts	0.21212271813779543	0.02315121490556984	0.0	inf	4.6074506729519555	0.0035413656708374232	0.0063744582075073615
Lymphoid cells	0.0357674232235099	0.04783282141761748	0.0	inf	2.9774750692573773	0.024326841146952556	0.031277367188939
Myeloid cells	0.040496550610204976	0.030123249629169457	0.0	inf	6.833770622418056	0.00045578750254366416	0.0010255218807232445
Satellite cells	0.008074460848416325	0.0	0.25858644025547095	0.0	-74.78612883867504	3.0288441899676814e-10	2.7259597709709136e-09
Skeletal muscle cells	0.011216340882335583	0.0	0.35019201591320787	0.0	-24.910008454769827	2.3664549926762172e-07	1.0649047467042978e-06
Smooth muscle cells	0.010908831121230287	0.03092432315640936	0.04180585553794187	0.739712721064715	-1.3453748602611888	0.22651002477958568	0.22651002477958568
Stromal cells	0.12968991212675615	0.14684715375436194	0.24992623420078394	0.5875619829344884	-4.2604937821675595	0.0051611435742437385	0.007741715361365608
Vascular endothelial cells	0.049482669184726394	0.05821385431141986	0.09948945409259509	0.5851258793443582	-2.497250853307508	0.046185641437911755	0.051958846617650725
Chromaffin cells	0.007953320639496057	0.0	0.0	0.0		1.0	1.0
Inhibitory neurons	0.019253527820314902	0.0	0.0	0.0		1.0	1.0
Hepatoblasts	0.06575739032928393	0.0	0.0	0.0		1.0	1.0
Astrocytes	0.012881242215188497	0.0	0.0	0.0		1.0	1.0
Goblet cells	0.0018668016810533608	0.0	0.0	0.0		1.0	1.0
Excitatory neurons	0.07568622822194129	0.0	0.0	0.0		1.0	1.0
Epithelial cells	0.0008852553728788816	0.0	0.0	0.0		1.0	1.0
Intestinal epithelial cells	0.025493801659310245	0.0	0.0	0.0		1.0	1.0
Metanephric cells	0.06569992638402689	0.0	0.0	0.0		1.0	1.0
Ganglion cells	0.001483191019472512	0.0	0.0	0.0		1.0	1.0
Photoreceptor cells	0.0033872666109628783	0.0	0.0	0.0		1.0	1.0
Adrenocortical cells	0.08443627869702834	0.0	0.0	0.0		1.0	1.0
Trophoblast giant cells	0.00938060079331306	0.0	0.0	0.0		1.0	1.0
Retinal pigment cells	0.0008914676912850491	0.0	0.0	0.0		1.0	1.0
Ureteric bud cells	0.014119046657617389	0.0	0.0	0.0		1.0	1.0
Mesangial cells	0.012435508369545973	0.0	0.0	0.0		1.0	1.0
Thymocytes	0.030659344414038597	0.0	0.0	0.0		1.0	1.0
