clusters	baseline_props	mean_props_Heart	mean_props_Intestine	mean_props_Muscle	f_statistics	p_values	adjusted_p_values
Cardiomyocytes	0.06997089528826711	0.6629073828254518	0.0	0.0	1285.7408452059842	0.0	0.0
Chromaffin cells	0.007953320639496057	0.0	0.019418683730309177	0.0	97.40034910783375	0.0	0.0
Erythroblasts	0.21212271813779543	0.023151214905569845	0.0	0.0	481.74155821353736	0.0	0.0
Intestinal epithelial cells	0.025493801659310245	0.0	0.40600153699286756	0.0	152.7037483240758	0.0	0.0
Lymphoid cells	0.0357674232235099	0.04783282141761748	0.23862575645806547	0.0	167.4922642100908	0.0	0.0
Myeloid cells	0.040496550610204976	0.030123249629169457	0.07475162816808191	0.0	405.5366604377871	0.0	0.0
Satellite cells	0.008074460848416325	0.0	0.0	0.25858644025547095	126.99443753285824	0.0	0.0
Skeletal muscle cells	0.011216340882335583	0.0	0.0	0.3501920159132079	134.43222246132743	0.0	0.0
Smooth muscle cells	0.010908831121230287	0.030924323156409354	0.0416861841453534	0.04180585553794187	0.4972242994717972	0.6082165458602933	0.6082165458602933
Stromal cells	0.12968991212675615	0.14684715375436197	0.20169578284396966	0.24992623420078397	2.968141348045954	0.0513987540007208	0.056538629400792885
Vascular endothelial cells	0.049482669184726394	0.05821385431141986	0.017820427661353118	0.09948945409259509	13.709246793530799	1.1121151742843338e-06	1.3592518796808524e-06
Hepatoblasts	0.06575739032928393	0.0	0.0	0.0		1.0	1.0
Adrenocortical cells	0.08443627869702834	0.0	0.0	0.0		1.0	1.0
Trophoblast giant cells	0.00938060079331306	0.0	0.0	0.0		1.0	1.0
Astrocytes	0.012881242215188497	0.0	0.0	0.0		1.0	1.0
Excitatory neurons	0.07568622822194129	0.0	0.0	0.0		1.0	1.0
Photoreceptor cells	0.0033872666109628783	0.0	0.0	0.0		1.0	1.0
Metanephric cells	0.06569992638402689	0.0	0.0	0.0		1.0	1.0
Ganglion cells	0.001483191019472512	0.0	0.0	0.0		1.0	1.0
Thymocytes	0.030659344414038597	0.0	0.0	0.0		1.0	1.0
Mesangial cells	0.012435508369545973	0.0	0.0	0.0		1.0	1.0
Ureteric bud cells	0.014119046657617389	0.0	0.0	0.0		1.0	1.0
Inhibitory neurons	0.019253527820314902	0.0	0.0	0.0		1.0	1.0
Retinal pigment cells	0.0008914676912850491	0.0	0.0	0.0		1.0	1.0
Epithelial cells	0.0008852553728788816	0.0	0.0	0.0		1.0	1.0
Goblet cells	0.0018668016810533608	0.0	0.0	0.0		1.0	1.0
