clusters	baseline_props	mean_props_Heart	mean_props_Intestine	mean_props_Muscle	f_statistics	p_values	adjusted_p_values
Cardiomyocytes	0.3425614744749768	0.6629073828254519	0.0	2.62253770502381e-17	1285.3988899408062	0.0	0.0
Chromaffin cells	0.0057482625952341125	0.0	0.019418683730309177	-3.0564215216274723e-18	97.38707936466886	0.0	0.0
Erythroblasts	0.01734363357107012	0.023151214905569845	0.0	1.2063355841914094e-18	481.7628327800229	0.0	0.0
Intestinal epithelial cells	0.12481181283170364	0.0	0.40600153699286756	-6.390298398763174e-17	152.68530054733418	0.0	0.0
Lymphoid cells	0.10059459541659697	0.04783282141761748	0.23862575645806547	-3.5818104894710037e-17	167.49268596261552	0.0	0.0
Myeloid cells	0.03897565352271172	0.030123249629169457	0.07475162816808191	-9.683707497984262e-18	405.55550552198514	0.0	0.0
Satellite cells	0.03953071062516157	0.0	0.0	0.25858644025547095	126.97728658876608	0.0	0.0
Skeletal muscle cells	0.05491263553277878	0.0	0.0	0.35019201591320787	134.4142773286254	0.0	0.0
Smooth muscle cells	0.0348849587128758	0.03092432315640936	0.0416861841453534	0.04180585553794186	0.49710519881459636	0.6082889891645626	0.6082889891645626
Stromal cells	0.1882555999939172	0.146847153754362	0.20169578284396963	0.24992623420078391	2.968278826934739	0.051391688242843236	0.056530857067127564
Vascular endothelial cells	0.05238066272297328	0.05821385431141987	0.017820427661353114	0.09948945409259508	13.710773830814375	1.1104182289223274e-06	1.3571778353495113e-06
