	BaselineProp	PropMean.Healthy	PropMean.Moderate	PropMean.Severe	Fstatistic	P.Value	FDR
pDC	0.002309574096303162	0.0011342771894175666	0.008209772844521212	0.0010656923804694108	7.66800413137353	0.007891726387375864	0.028010241587283186
Neutrophil	0.02441766824183672	-0.0	0.0012044311618173856	0.055593846147918444	7.699773124833141	0.00800676866648277	0.028010241587283186
NK cells	0.016425326303313934	0.00889432932164376	0.05246592278730976	0.017978750490470853	7.5206910880398565	0.008403072476184955	0.028010241587283186
T cells	0.11724127452023156	0.09459448056708913	0.32502956335001865	0.13709743471955105	5.377659235982177	0.023311489301709842	0.05466535487473654
mDC	0.014860285961740083	0.02377618158821232	0.030831148522583098	0.008875552878499313	5.037224828056619	0.02733267743736827	0.05466535487473654
B cells	0.003342804613070366	0.0035032662274645846	0.01298951820326937	0.004005390607425881	3.180200591494467	0.0802974489496821	0.13382908158280352
Plasma	0.01581754364639205	0.00022442760703424391	0.0021499086366454294	0.050912722901676845	1.3793561970597858	0.29177692722133464	0.41544491644416287
Macrophages	0.7508698889277194	0.735289783112163	0.5129958436193349	0.6043162370636123	1.2186301621825433	0.3323559331553303	0.41544491644416287
Epithelial	0.05365201403977937	0.130245919439191	0.05190340568188189	0.11845537178007812	0.30529601003139906	0.7429066370429074	0.8254518189365638
Mast	0.0010636196496132983	0.002337334947784396	0.0022204851926184766	0.0016990010302980205	0.04651484821671713	0.954732485637606	0.954732485637606
