clusters	baseline_props	mean_props_Healthy	mean_props_Moderate	mean_props_Severe	p_values
B cells	0.003342804613070366	0.0013724987138348933	0.007502497430348726	0.001958275811066421	0.15975567380189112
Epithelial	0.05365201403977937	0.0617201073358844	0.026264951840356834	0.04581902817756413	0.31953418148838675
Macrophages	0.7508698889277194	0.8502072384566326	0.5992246837547218	0.72735926650694	0.03260835759191968
Mast	0.0010636196496132983	0.00052304147101078	0.00041502617328046634	0.0005923029849984672	0.4891102058285416
NK cells	0.016425326303313934	0.0031445382684237274	0.03696385408868948	0.015301092301351227	0.013150137556155277
Neutrophil	0.02441766824183672	0.0	0.00024882330769907695	0.03897500812180669	5.3382090570153196e-06
Plasma	0.01581754364639205	3.4317089910775565e-05	0.0010860539240750582	0.0231229035919906	0.00018343796765574183
T cells	0.11724127452023156	0.05106853242809317	0.28523028573930065	0.11861726111022103	0.00855790041785709
mDC	0.014860285961740083	0.01908090904706953	0.019147780007998723	0.007419937742607789	0.29806642070843303
pDC	0.002309574096303162	0.00036324190454349706	0.005934395475099873	0.0012454197195996928	0.04676920573197241
