	clusters	baseline_props	mean_props_Control	mean_props_Ischaemic	p_values	comb	ctrl	ischaemic	adjusted_p_values	-log10(adjusted-p-value)	correct
0	Adipocyte	0.003509569059388489	0.0	0.00072992700729927	0.7167649670086457	['CK158', 'CK161']	CK158	CK161	0.7354490897272863	0.13344738522844338	True
1	Cardiomyocyte	0.3550618483208122	0.3403711881774002	0.1825404136257042	0.1427078148408919	['CK158', 'CK161']	CK158	CK161	0.32125852271158917	0.49314534204970256	False
2	Cycling cells	0.004003102208364995	0.005645770273429847	0.038927966315587745	0.2045934266875747	['CK158', 'CK161']	CK158	CK161	0.4231761475076331	0.37347881946472755	False
3	Endothelial	0.17304995652207975	0.1635722261860037	0.1902317517808255	0.5986622941110276	['CK158', 'CK161']	CK158	CK161	0.6866174178903729	0.1632851837274436	True
4	Fibroblast	0.23987277812159716	0.2591829378378874	0.13480828127026545	0.19067060515763987	['CK158', 'CK161']	CK158	CK161	0.4029894012938764	0.3947063757450287	True
5	Lymphoid	0.026971978284541447	0.008369639706685878	0.10351169430828688	0.0428246027682732	['CK158', 'CK161']	CK158	CK161	0.13739286121550934	0.862035832161879	True
6	Mast	0.003721083266092706	0.0017485136105889	0.0	0.5746312426026801	['CK158', 'CK161']	CK158	CK161	0.679592806215007	0.1677512269743605	True
7	Myeloid	0.10104895378806276	0.1041260625880902	0.2515031571009919	0.10244729857798857	['CK158', 'CK161']	CK158	CK161	0.25559016758632197	0.5924558572630056	False
8	Neuronal	0.014241956584750609	0.007918526845600566	0.01168059520276107	0.7075732392275027	['CK158', 'CK161']	CK158	CK161	0.7311365884934422	0.13600148201929282	True
9	Pericyte	0.06338375727569702	0.052528978183979884	0.023203174322398157	0.4591438995247805	['CK158', 'CK161']	CK158	CK161	0.6576705756928047	0.1819915881241827	True
10	Vsmcs	0.01513501656861286	0.00723733890203895	0.015443109035003087	0.6716458348713694	['CK158', 'CK161']	CK158	CK161	0.7144540309400941	0.14602570914215335	True
11	Adipocyte	0.0034737568525281663	0.0	0.0002181500872600349	0.7016833851845256	['CK158', 'CK165']	CK158	CK165	0.7311365884934422	0.13600148201929282	True
12	Cardiomyocyte	0.35942527933502366	0.33745845464747276	0.5976115354006131	0.0009563127424207845	['CK158', 'CK165']	CK158	CK165	0.005714263794218021	2.2430397146482672	True
13	Cycling cells	0.003970007831460762	0.005862581925444768	0.013224671378556086	0.43845473231456855	['CK158', 'CK165']	CK158	CK165	0.6576705756928047	0.1819915881241827	False
14	Endothelial	0.17270309459008892	0.16811082394130528	0.15397451324918113	0.5076998219467814	['CK158', 'CK165']	CK158	CK165	0.6617596562550566	0.1792997128483893	True
15	Fibroblast	0.2382469934169206	0.26426985663274793	0.09869973188542938	0.0031882776188037008	['CK158', 'CK165']	CK158	CK165	0.016416237952138205	1.7847263614567028	False
16	Lymphoid	0.02633231756961083	0.01141982109848473	0.005778841722515185	0.47006622777009316	['CK158', 'CK165']	CK158	CK165	0.6591010417046577	0.18104800195984685	True
17	Mast	0.003683112734265355	0.0016172980126003462	0.0	0.3733747332037965	['CK158', 'CK165']	CK158	CK165	0.6250512114512079	0.20408439875267576	True
18	Myeloid	0.09966890754999341	0.11802206544356544	0.05476518630840516	0.10517357814638567	['CK158', 'CK165']	CK158	CK165	0.25971434603495236	0.5855040602600423	False
19	Neuronal	0.014073367605666565	0.009680903065488716	0.0020044863343371584	0.32683488191506505	['CK158', 'CK165']	CK158	CK165	0.5946920407777876	0.2257078739598086	True
20	Pericyte	0.06319446059844766	0.05802531108581638	0.03772722266190172	0.4309094990134837	['CK158', 'CK165']	CK158	CK165	0.6576705756928047	0.1819915881241827	True
21	Vsmcs	0.015228701915994014	0.008203590225973516	0.019690970695703566	0.3543189506881202	['CK158', 'CK165']	CK158	CK165	0.622248744384593	0.20603597106712784	True
22	Adipocyte	0.0033880988333220645	7.597850980066559e-05	0.0004024195585523786	0.6342875638141756	['CK158', 'CK361']	CK158	CK361	0.6985708434771314	0.15578954463773628	True
23	Cardiomyocyte	0.34717120040867533	0.33841968169775827	0.16418933418194204	0.00036383092769446	['CK158', 'CK361']	CK158	CK361	0.0025896201324135094	2.5867639372685556	True
24	Cycling cells	0.007647637721334506	0.007274676160344674	0.08471319913303543	3.2045848803159163e-05	['CK158', 'CK361']	CK158	CK361	0.0003446709071273119	3.4625953728360224	True
25	Endothelial	0.17066702726255137	0.17092234924607033	0.12144920388554376	0.08449919409440533	['CK158', 'CK361']	CK158	CK361	0.21945438951185756	0.6586557280032749	True
26	Fibroblast	0.24275615454538624	0.26521498824174417	0.29559569787077106	0.39751581555536375	['CK158', 'CK361']	CK158	CK361	0.6447456160600475	0.19061160216001818	True
27	Lymphoid	0.027059716180989086	0.010860344631535124	0.036052566322838084	0.045354120476262	['CK158', 'CK361']	CK158	CK361	0.1434731654281752	0.8432293198098877	True
28	Mast	0.0036284960897883752	0.002078597797299419	0.0008172828719048802	0.5275039493788003	['CK158', 'CK361']	CK158	CK361	0.6647530442195204	0.1773396651513977	True
29	Myeloid	0.10590250388767439	0.1164499224108984	0.22184160052307278	0.006184522595887315	['CK158', 'CK361']	CK158	CK361	0.027211899421904186	1.5652411429074402	True
30	Neuronal	0.013943040875046013	0.010367157399973664	0.006210770352152475	0.4369710111021	['CK158', 'CK361']	CK158	CK361	0.6576705756928047	0.1819915881241827	True
31	Pericyte	0.06304418050828994	0.0612784924591981	0.05221242969262241	0.4380362267379755	['CK158', 'CK361']	CK158	CK361	0.6576705756928047	0.1819915881241827	True
32	Vsmcs	0.014791943686942673	0.009018452181356586	0.006312431586866129	0.6101811931272594	['CK158', 'CK361']	CK158	CK361	0.692890906151359	0.1593351385283329	True
33	Adipocyte	0.0034970374442611935	6.571459848671813e-05	0.002092572176659875	0.29572780495876677	['CK158', 'CK363']	CK158	CK363	0.5679851492065202	0.24566301939809507	True
34	Cardiomyocyte	0.35380398265225094	0.33908870179124495	0.28864732816518973	0.2987880937147342	['CK158', 'CK363']	CK158	CK363	0.5693442415666589	0.24462506751159804	False
35	Cycling cells	0.004306395455378413	0.006899351069493022	0.018657107722987065	0.25040494519901296	['CK158', 'CK363']	CK158	CK363	0.5028879397357771	0.29852877950933177	False
36	Endothelial	0.17272921629711074	0.16714427442394086	0.16718943094762895	0.5408320066500114	['CK158', 'CK363']	CK158	CK363	0.6647530442195204	0.1773396651513977	True
37	Fibroblast	0.24406725306945207	0.2626505161542164	0.3625161276413994	0.08478919594776314	['CK158', 'CK363']	CK158	CK363	0.21945438951185756	0.6586557280032749	True
38	Lymphoid	0.026411031702400587	0.009887319353479224	0.017696050494343293	0.5302852546501848	['CK158', 'CK363']	CK158	CK363	0.6647530442195204	0.1773396651513977	True
39	Mast	0.0036344755970924196	0.0023155040623588155	9.938777525427076e-05	0.3469387635934067	['CK158', 'CK363']	CK158	CK363	0.6150855735502155	0.21106445896391107	True
40	Myeloid	0.09893256367967748	0.11079087965730128	0.05272527353718111	0.0447714561557082	['CK158', 'CK363']	CK158	CK363	0.1425617419694919	0.8459970066074535	False
41	Neuronal	0.014003420682914911	0.011560470157206407	0.005544386594489919	0.4535379819189582	['CK158', 'CK363']	CK158	CK363	0.6576705756928047	0.1819915881241827	True
42	Pericyte	0.06345061389041598	0.06067490261406243	0.05799250976862479	0.5621768321857235	['CK158', 'CK363']	CK158	CK363	0.6748257291069631	0.17080836740454883	True
43	Vsmcs	0.015164009529045263	0.008768290854326965	0.015646891848878762	0.49983877848148967	['CK158', 'CK363']	CK158	CK363	0.6612140079480363	0.1796579543896197	True
44	Adipocyte	0.0034423671246289894	7.117235096509706e-05	0.00043518238869899584	0.5931566587529851	['CK158', 'CK365']	CK158	CK365	0.6866174178903729	0.1632851837274436	True
45	Cardiomyocyte	0.3461873871668554	0.33733237141835676	0.010339172659566711	1.4636942239763763e-07	['CK158', 'CK365']	CK158	CK365	7.084280044045661e-06	5.149704279331226	True
46	Cycling cells	0.004658670175331232	0.0066264380777022675	0.03133763951528746	0.058258842444986386	['CK158', 'CK365']	CK158	CK365	0.16489637276826558	0.782788897442519	False
47	Endothelial	0.1723325479636486	0.1657784641054496	0.14820504902531706	0.3731162421070924	['CK158', 'CK365']	CK158	CK365	0.6250512114512079	0.20408439875267576	True
48	Fibroblast	0.24208255561335332	0.26791637837733	0.3004678548313734	0.38297981109927426	['CK158', 'CK365']	CK158	CK365	0.6323839566714367	0.19901915647772767	True
49	Lymphoid	0.02840335363054986	0.010048580875552899	0.08882467572052168	0.00017284643056121528	['CK158', 'CK365']	CK158	CK365	0.0013714372523217738	2.8628240579783775	False
50	Mast	0.004077292616505003	0.00220536548838804	0.01453290166963185	0.07038459763588047	['CK158', 'CK365']	CK158	CK365	0.19031366064673824	0.7205300370909751	True
51	Myeloid	0.10567302102138858	0.11402554397593882	0.288217789225795	0.0018006022417470786	['CK158', 'CK365']	CK158	CK365	0.010017143505811333	1.9992561044693975	True
52	Neuronal	0.013884214069336924	0.009785043467503583	0.0009280487515124815	0.11761097627428557	['CK158', 'CK365']	CK158	CK365	0.27771619373365397	0.5563987956400221	True
53	Pericyte	0.06356904623481534	0.06088292107572372	0.062213388345734616	0.4901827696659343	['CK158', 'CK365']	CK158	CK365	0.6608592214994768	0.17989104556358826	True
54	Vsmcs	0.015689544383586794	0.009663156295035422	0.03374935273588511	0.13170321604572355	['CK158', 'CK365']	CK158	CK365	0.30210595528971657	0.5198407135748823	True
55	Adipocyte	0.003624285037989026	0.0	0.008836068673998292	0.07123227703821222	['CK158', 'CK369']	CK158	CK369	0.19153567825830398	0.7177503160689134	True
56	Cardiomyocyte	0.35102791553165236	0.337262755220288	0.0077248802173572	2.6247767253373757e-07	['CK158', 'CK369']	CK158	CK369	9.772245654332998e-06	5.010005624283504	True
57	Cycling cells	0.005160919807843046	0.006614621504722334	0.09670547387741539	0.000654753414645404	['CK158', 'CK369']	CK158	CK369	0.004169745430110204	2.379890458616941	True
58	Endothelial	0.17571185769830738	0.16496720940750792	0.3703819129710135	0.003770564159022533	['CK158', 'CK369']	CK158	CK369	0.019193638955042926	1.716842678819908	False
59	Fibroblast	0.23983919660388195	0.25430190526247143	0.20356739077319475	0.20163071709676067	['CK158', 'CK369']	CK158	CK369	0.4188380561151595	0.37795386469630665	True
60	Lymphoid	0.027395559280730754	0.010861561119293078	0.07849033148583374	0.01607645708884286	['CK158', 'CK369']	CK158	CK369	0.060789103367187056	1.2161742623657608	True
61	Mast	0.0036863712913164613	0.0016828214768987984	0.0	0.403780757943368	['CK158', 'CK369']	CK158	CK369	0.6447456160600475	0.19061160216001818	True
62	Myeloid	0.100680620552102	0.11729350649350646	0.12273828470722117	0.5486581508424264	['CK158', 'CK369']	CK158	CK369	0.6688930604728826	0.1746433096744673	False
63	Neuronal	0.014419532335296812	0.00968197031943634	0.024351968468520453	0.30979248870963755	['CK158', 'CK369']	CK158	CK369	0.5766906328287099	0.2390571027660426	True
64	Pericyte	0.06332797839398384	0.06227189986441921	0.04444330060686937	0.4474932050853563	['CK158', 'CK369']	CK158	CK369	0.6576705756928047	0.1819915881241827	True
65	Vsmcs	0.015125763466896387	0.008442671753134172	0.013366607308640276	0.41139435547147335	['CK158', 'CK369']	CK158	CK369	0.6447456160600475	0.19061160216001818	True
66	Adipocyte	0.0035504481589147285	8.368200836820082e-05	0.0036781382069076217	0.09262662710122742	['CK158', 'CK371']	CK158	CK371	0.23349628915101078	0.6317200170852153	True
67	Cardiomyocyte	0.34533975290697677	0.33990439316965104	0.07850236559082305	2.162642662076916e-06	['CK158', 'CK371']	CK158	CK371	4.5509523845444664e-05	4.341897708382373	True
68	Cycling cells	0.007267441860465116	0.007499937735456005	0.09273180635426675	1.3156639200725303e-05	['CK158', 'CK371']	CK158	CK371	0.00016757403613555386	3.7757932699334256	True
69	Endothelial	0.17310895106589147	0.16769857251440007	0.17763593420103246	0.4751814671557297	['CK158', 'CK371']	CK158	CK371	0.6591010417046577	0.18104800195984685	True
70	Fibroblast	0.24237675629844962	0.26106504507741063	0.2951981869382695	0.3067773206860718	['CK158', 'CK371']	CK158	CK371	0.5755047411320107	0.2399510942079709	True
71	Lymphoid	0.02715449370155039	0.011094353927863933	0.04115050381730028	0.013125457280575507	['CK158', 'CK371']	CK158	CK371	0.05164814084389062	1.2869453069763321	True
72	Mast	0.003800266472868217	0.002597091963636521	0.004380879545043456	0.5169284991884849	['CK158', 'CK371']	CK158	CK371	0.661887284675203	0.179215961937083	True
73	Myeloid	0.10626362645348837	0.1153592617791054	0.25587246586464857	0.0003707405193294943	['CK158', 'CK371']	CK158	CK371	0.0026005566863112352	2.5849336751389655	True
74	Neuronal	0.013800569282945737	0.012314484516186965	0.0023292088804042935	0.056410682095297635	['CK158', 'CK371']	CK158	CK371	0.1615548528646394	0.7916799918977774	True
75	Pericyte	0.062325884205426355	0.058898194828427376	0.029486429723773466	0.050209331113029304	['CK158', 'CK371']	CK158	CK371	0.1490878298080134	0.826557807002712	True
76	Vsmcs	0.015011809593023256	0.010521692156252132	0.01130329097369211	0.5169284991884849	['CK158', 'CK371']	CK158	CK371	0.661887284675203	0.179215961937083	True
77	Adipocyte	0.003490183857899657	0.0	0.0003100775193798449	0.7730368725316002	['CK158', 'CK376']	CK158	CK376	0.7762444944093247	0.1100014670809083	True
